kda,assists,deaths,denies,game_mode,gpm,hero_damage,hero_id,kills,last_hits,leaver_status,level,match_id,player_slot,steam_id,total_gold,tower_damage,win,xpm
,14,5,22,3,580,20633,94,4,337,0,25,4189127360,0,106863163,20251,1113,0,784
,6,13,12,3,385,15892,70,12,107,0,20,4189127360,1,173812218,13442,79,0,510
,13,11,1,3,286,9281,121,2,55,0,16,4189127360,2,136235177,9986,17,0,344
,4,11,0,3,248,4580,32,3,61,0,16,4189127360,3,101695162,8659,0,0,330
,13,13,20,3,325,14779,104,4,103,0,20,4189127360,4,321134164,11347,0,0,485
,17,3,17,3,619,26525,25,12,259,0,25,4189127360,128,135656964,21613,6293,1,791
,20,5,8,3,649,36889,45,21,194,0,25,4189127360,129,94738847,22660,6980,1,781
,22,9,3,3,297,8754,88,2,26,0,21,4189127360,130,145899701,10370,294,1,535
,18,3,13,3,560,20253,12,8,257,0,23,4189127360,131,355985353,19553,2876,1,696
,23,5,2,3,441,15651,110,7,102,0,21,4189127360,132,94296097,15398,23,1,570
,35,3,7,3,870,34717,73,7,514,0,25,4187094177,0,129997701,47589,3708,1,704
,24,9,1,3,350,27196,32,9,96,0,25,4187094177,1,101695162,19145,1071,1,522
,27,14,1,3,283,9789,75,3,40,0,19,4187094177,2,352744238,15480,21,1,303
,19,12,3,3,457,29311,2,18,187,0,25,4187094177,3,129848451,24997,1101,1,572
,28,4,18,3,657,48484,10,17,362,0,25,4187094177,4,,35937,9935,1,700
,21,16,1,3,277,9698,84,1,40,0,19,4187094177,128,171337923,15151,99,0,297
,20,7,8,3,369,17273,86,5,173,0,25,4187094177,129,152915953,20184,31,0,578
,14,13,4,3,526,41889,120,9,361,0,25,4187094177,130,94738847,28772,375,0,559
,15,13,22,3,521,43538,114,12,338,0,25,4187094177,131,129748056,28498,3235,0,540
,11,6,21,3,572,65057,17,15,393,0,25,4187094177,132,159235251,31288,140,0,661
,17,7,13,3,420,18915,63,4,130,0,22,4186065535,0,860455524,16569,2036,1,515
,8,6,5,3,763,31230,109,7,485,0,24,4186065535,1,90137663,30100,15512,1,676
,14,6,18,3,586,37404,59,11,239,0,24,4186065535,2,342340720,23117,4024,1,648
,14,7,3,3,331,12943,79,4,76,0,21,4186065535,3,256313200,13057,0,1,509
,14,7,3,3,351,10477,2,4,83,0,21,4186065535,4,111034589,13846,214,1,466
,11,6,3,3,236,16254,75,6,20,0,15,4186065535,128,183371003,9310,0,0,286
,11,6,10,3,457,15579,42,5,229,0,20,4186065535,129,128421513,18028,1628,0,444
,8,6,11,3,426,24116,36,12,153,0,22,4186065535,130,136187546,16805,742,0,518
,16,7,7,3,488,18487,121,6,149,0,23,4186065535,131,101695162,19251,229,0,589
,7,6,19,3,540,19803,76,2,294,1,22,4186065535,132,106863163,21303,947,0,546
,17,9,23,3,477,18560,95,4,295,1,23,4185968817,0,,21552,5862,0,505
,16,10,4,3,233,11403,7,1,60,0,19,4185968817,1,,10527,61,0,369
,13,7,15,3,445,32363,36,10,219,0,23,4185968817,2,139031324,20106,757,0,510
,16,8,1,3,284,6787,111,3,37,1,22,4185968817,3,101695162,12832,0,0,477
,12,7,17,3,633,39127,46,17,329,0,25,4185968817,4,173880329,28601,4866,0,754
,24,9,5,3,385,16357,88,5,43,0,25,4185968817,128,151181525,17395,1938,1,617
,10,2,17,3,517,25069,19,15,213,0,25,4185968817,129,196493853,23359,5706,1,651
,13,4,8,3,695,34663,44,14,410,0,25,4185968817,130,90137663,31402,4386,1,733
,12,14,5,3,319,8654,121,1,87,0,19,4185968817,131,199012928,14413,0,1,354
,25,7,3,3,410,36684,22,6,168,0,25,4185968817,132,103296177,18525,84,1,613
,7,5,1,3,268,8277,3,1,17,0,12,4185905543,0,143151785,6038,1360,1,319
,11,2,9,3,391,11757,51,4,70,0,14,4185905543,1,141919259,8810,0,1,431
,5,4,38,3,531,14794,10,5,134,0,15,4185905543,2,125581247,11965,2987,1,455
,6,3,4,3,635,20119,70,15,121,0,18,4185905543,3,94738847,14308,3808,1,664
,12,0,5,3,397,10636,110,8,25,0,13,4185905543,4,121040290,8945,529,1,376
,3,6,3,3,364,11878,19,8,58,0,14,4185905543,128,239425754,8202,86,0,421
,3,6,1,3,243,10747,64,2,54,0,12,4185905543,129,101695162,5475,216,0,316
,5,8,3,3,183,6644,84,0,12,0,10,4185905543,130,136099804,4123,214,0,254
,4,5,15,3,350,5828,95,1,131,0,13,4185905543,131,118127154,7886,68,0,377
,4,9,8,3,322,8145,59,3,85,0,12,4185905543,132,,7255,22,0,327
,29,9,4,3,502,26625,106,7,135,0,22,4185621857,0,94738847,15620,2559,1,704
,21,9,4,3,334,12085,88,5,20,0,18,4185621857,1,103354522,10392,659,1,458
,16,6,1,3,339,11073,7,5,40,0,16,4185621857,2,136510362,10548,725,1,406
,15,3,5,3,798,42713,41,27,242,0,25,4185621857,3,101695162,24831,14357,1,882
,24,4,9,3,484,9239,97,7,133,0,22,4185621857,4,153035705,15060,1249,1,694
,3,8,6,3,387,7919,12,2,186,0,17,4185621857,128,391589664,12042,38,0,423
,17,9,2,3,456,11781,62,8,13,0,20,4185621857,129,101678979,14189,0,0,588
,13,15,5,3,351,20900,120,6,106,0,16,4185621857,130,106863163,10921,0,0,376
,13,13,15,3,281,14559,51,4,31,0,15,4185621857,131,103296177,8743,0,0,354
,15,7,12,3,403,22811,21,8,107,0,18,4185621857,132,140061680,12540,0,0,467
,1,0,14,3,535,4924,36,3,69,0,10,4185579562,0,101695162,5358,1107,1,563
,5,0,9,3,402,6821,19,7,27,0,7,4185579562,1,,4026,0,1,304
,6,0,2,3,245,3231,2,1,7,0,5,4185579562,2,285989226,2454,0,1,190
,0,0,42,3,387,4168,59,2,50,0,9,4185579562,3,148967400,3876,92,1,491
,7,1,1,3,319,4681,121,4,14,0,7,4185579562,4,217863495,3195,0,1,296
,0,2,6,3,242,3906,25,0,24,1,5,4185579562,128,223968209,2424,0,0,218
,1,4,4,3,141,2928,3,0,10,1,4,4185579562,129,186939694,1412,0,0,159
,1,5,4,3,226,2787,114,0,29,3,5,4185579562,130,129748056,2263,0,0,216
,0,2,2,3,297,3295,63,0,17,1,6,4185579562,131,,2974,0,0,269
,0,4,0,3,144,1529,107,1,2,1,3,4185579562,132,835676420,1442,0,0,78
,9,8,8,3,482,24885,110,7,191,0,21,4184565328,0,101695162,18460,0,0,484
,8,6,25,3,536,30244,54,5,283,0,23,4184565328,1,219179771,20528,1541,0,599
,7,7,3,3,533,20478,61,9,267,1,24,4184565328,2,106863163,20413,2644,0,643
,17,13,6,3,269,16631,75,5,33,0,18,4184565328,3,129165040,10302,0,0,379
,9,7,7,3,468,24641,120,8,189,0,23,4184565328,4,394879200,17924,98,0,587
,10,4,14,3,593,31055,19,16,241,0,25,4184565328,128,92590479,22711,4710,1,779
,13,5,3,3,578,23664,95,11,250,0,24,4184565328,129,90045009,22137,4612,1,653
,10,10,6,3,330,11333,119,5,46,0,19,4184565328,130,94296097,12639,387,1,435
,17,6,11,3,496,19889,77,4,225,0,22,4184565328,131,94738847,18996,8117,1,553
,16,9,3,3,394,18658,7,4,138,0,22,4184565328,132,402498339,15090,500,1,543
,8,10,6,3,388,29337,45,6,228,0,22,4184471549,0,,17505,3941,0,448
,10,9,2,3,361,16395,5,5,88,0,21,4184471549,1,89423756,16287,0,0,435
,12,6,9,3,377,16297,96,4,242,0,22,4184471549,2,,17008,45,0,480
,7,6,6,3,476,17259,12,4,360,0,24,4184471549,3,219179771,21475,0,0,580
,13,9,4,3,316,13912,7,1,94,0,23,4184471549,4,101695162,14256,0,0,518
,25,2,1,3,318,9682,75,2,51,0,22,4184471549,128,90045009,14347,1057,1,478
,21,6,12,3,559,34637,106,10,281,0,25,4184471549,129,394879200,25220,1051,1,681
,21,7,13,3,445,16416,21,6,182,0,25,4184471549,130,402498339,20076,1272,1,601
,17,4,3,3,463,24784,104,9,207,0,25,4184471549,131,92590479,20889,1946,1,673
,9,3,16,3,750,41420,114,13,495,0,25,4184471549,132,,33837,11121,1,747
,19,7,12,3,537,41273,45,10,220,0,25,4184092973,0,101695162,24003,7906,1,722
,14,8,4,3,586,30116,17,11,316,0,25,4184092973,1,,26194,1101,1,655
,15,10,7,3,385,12752,119,5,110,0,21,4184092973,2,203732939,17209,1235,1,443
,14,3,1,3,696,44951,109,7,477,0,25,4184092973,3,133035337,31111,9064,1,679
,19,12,2,3,338,15251,7,4,100,0,20,4184092973,4,168730892,15108,0,1,392
,13,8,4,3,402,20030,36,12,191,0,23,4184092973,128,397194466,17969,325,0,530
,9,8,23,3,621,40915,114,13,365,0,25,4184092973,129,125581247,27758,1644,0,724
,21,9,8,3,325,9864,85,4,84,0,21,4184092973,130,180286184,14527,200,0,413
,24,7,13,3,427,18844,65,4,245,0,24,4184092973,131,111189717,19086,209,0,577
,22,5,0,3,291,14737,75,3,55,0,19,4184092973,132,,13007,0,0,377
,3,7,5,3,239,10774,119,3,56,0,13,4184053993,0,101695162,6719,0,0,314
,5,7,15,3,237,7099,51,2,51,0,11,4184053993,1,136266811,6663,0,0,231
,2,5,8,3,441,15414,9,4,204,0,17,4184053993,2,347258659,12399,847,0,467
,0,11,9,3,199,5160,84,0,43,1,10,4184053993,3,350168433,5595,0,0,201
,0,4,6,3,347,3892,12,0,180,0,14,4184053993,4,219179771,9756,280,0,345
,6,0,31,3,573,18127,39,11,183,0,19,4184053993,128,,16110,2945,1,583
,11,2,5,3,336,9334,50,4,51,0,15,4184053993,129,,9447,1674,1,400
,11,3,17,3,425,8611,19,2,107,0,15,4184053993,130,,11949,4302,1,380
,11,0,27,3,701,20279,41,14,220,0,22,4184053993,131,168028715,19709,7974,1,735
,14,4,9,3,369,7678,27,3,42,0,13,4184053993,132,136989064,10375,4923,1,295
,9,5,6,3,495,24206,106,13,146,0,22,4183036145,0,202217968,16656,15,0,613
,14,12,5,3,290,5163,85,4,51,0,15,4183036145,1,,9758,0,0,319
,11,16,20,3,409,11473,114,4,159,0,18,4183036145,2,106863163,13762,984,0,448
,10,7,12,3,505,20350,77,6,232,0,21,4183036145,3,103275898,16993,2852,0,569
,16,7,1,3,385,12490,100,6,49,0,18,4183036145,4,101695162,12955,0,0,455
,16,9,3,3,277,9528,121,4,23,0,13,4183036145,128,136421659,9321,57,1,260
,18,1,9,3,841,35442,109,14,382,0,25,4183036145,129,254710104,28299,13313,1,893
,19,6,5,3,295,12908,32,5,42,0,19,4183036145,130,103940975,9926,8,1,458
,13,3,5,3,618,27806,19,15,199,0,24,4183036145,131,135656964,20795,1250,1,752
,13,14,10,3,497,30789,45,8,164,0,22,4183036145,132,94738847,16724,3588,1,610
,11,2,3,2,329,3611,85,2,27,0,11,4155165022,0,87278757,6048,132,1,348
,7,0,5,2,383,8221,112,4,38,0,11,4155165022,1,89117038,7040,131,1,326
,6,0,7,2,536,12261,25,7,115,0,14,4155165022,2,116585378,9853,2743,1,500
,7,2,10,2,495,5319,92,3,93,0,12,4155165022,3,73562326,9099,9241,1,414
,7,0,13,2,517,8096,6,4,110,0,14,4155165022,4,121769650,9504,3740,1,515
,2,3,12,2,431,2859,48,1,130,0,13,4155165022,128,125581247,7923,2241,0,418
,1,2,15,2,369,3069,23,0,100,1,12,4155165022,129,106863163,6783,315,0,384
,1,6,2,2,158,3486,3,0,9,1,6,4155165022,130,94296097,2904,76,0,146
,2,4,3,2,179,2591,88,0,16,1,8,4155165022,131,101695162,3290,0,0,231
,1,5,9,2,327,11195,45,2,72,0,10,4155165022,132,94738847,6011,1003,0,301
,12,3,2,2,365,8692,5,4,36,0,13,4155083070,0,87278757,7579,108,1,371
,5,2,17,2,550,9012,33,4,119,0,14,4155083070,1,73562326,11421,5149,1,454
,17,0,1,2,326,7289,7,1,21,0,13,4155083070,2,89117038,6769,363,1,375
,6,1,28,2,525,14641,10,7,104,0,15,4155083070,3,121769650,10902,7122,1,534
,8,1,23,2,582,15458,114,13,103,0,14,4155083070,4,116585378,12086,3986,1,447
,3,7,15,2,311,7171,113,1,72,0,12,4155083070,128,125581247,6458,97,0,360
,0,4,14,2,391,6484,4,5,123,0,13,4155083070,129,106863163,8119,0,0,379
,2,7,3,2,182,1632,26,0,17,0,7,4155083070,130,94296097,3779,0,0,169
,1,5,3,2,198,4104,91,0,56,1,10,4155083070,131,101695162,4111,12,0,273
,2,7,7,2,223,4754,36,0,62,0,9,4155083070,132,94738847,4630,92,0,224
,7,2,30,2,703,31888,10,18,248,0,25,4153457727,0,125581247,22648,5850,1,912
,16,3,5,2,639,13745,77,7,262,0,22,4153457727,1,106863163,20586,5287,1,644
,14,8,1,2,341,7915,84,3,36,0,18,4153457727,2,94296097,10985,239,1,461
,14,4,1,2,448,12628,112,4,109,0,18,4153457727,3,101695162,14433,294,1,443
,13,6,6,2,513,20038,63,7,169,0,24,4153457727,4,94738847,16527,3158,1,825
,10,5,7,2,593,33726,72,7,278,1,21,4153457727,128,397574220,19104,1271,0,603
,6,6,8,2,503,13648,4,7,172,0,21,4153457727,129,211531481,16204,914,0,573
,13,9,13,2,354,13460,20,2,114,0,17,4153457727,130,113874152,11404,357,0,416
,7,10,2,2,229,5607,3,5,16,0,14,4153457727,131,104295671,7377,88,0,284
,9,9,7,2,227,7916,91,2,41,1,17,4153457727,132,127077041,7313,237,0,400
,12,1,15,2,755,33843,10,13,464,0,25,4153176605,0,125581247,28702,8770,1,832
,11,3,13,2,539,17745,49,5,339,0,24,4153176605,1,106863163,20490,4230,1,666
,9,8,8,2,252,7278,3,3,44,0,19,4153176605,2,94296097,9580,329,1,433
,22,6,2,2,394,18085,110,2,177,0,23,4153176605,3,101695162,14978,211,1,607
,12,6,12,2,619,20754,36,8,434,0,25,4153176605,4,94738847,23532,2809,1,727
,15,7,4,2,343,15738,53,3,102,0,17,4153176605,128,237325411,13039,1056,0,352
,10,5,4,2,518,23243,25,6,270,0,23,4153176605,129,156328257,19692,190,0,635
,14,6,5,2,226,5116,83,0,33,0,17,4153176605,130,131330953,8591,0,0,341
,4,6,6,2,556,20611,61,8,295,0,24,4153176605,131,389033587,21137,3033,0,657
,10,7,12,2,398,16949,9,7,161,0,20,4153176605,132,152859296,15130,682,0,459
,14,9,17,3,563,37829,36,23,286,0,25,4141972868,0,218425546,30430,2299,0,792
,21,16,12,3,424,14655,44,2,307,0,25,4141972868,1,138397840,22917,473,0,565
,26,15,2,3,355,56675,22,5,180,0,25,4141972868,2,141989647,19187,109,0,582
,26,13,8,3,326,14618,86,6,91,0,23,4141972868,3,,17620,574,0,423
,18,15,0,3,421,12111,71,8,181,0,24,4141972868,4,157771335,22755,836,0,463
,13,10,9,3,637,51953,114,29,314,0,25,4141972868,128,106863163,34429,9760,1,674
,24,8,6,3,396,16695,31,8,89,0,25,4141972868,129,189955374,21403,962,1,530
,27,4,0,3,487,32062,67,4,353,0,25,4141972868,130,126271070,26322,2890,1,542
,25,6,8,3,641,41359,121,17,333,0,25,4141972868,131,101695162,34646,1733,1,645
,33,17,0,3,390,20568,107,9,105,0,24,4141972868,132,142750189,21079,1662,1,471
,14,9,1,2,285,10546,86,4,72,0,16,4201438771,0,131766964,10222,0,0,352
,9,8,5,2,417,15159,23,6,183,0,20,4201438771,1,152915953,14956,485,0,498
,15,11,3,2,300,9880,91,6,80,0,20,4201438771,2,164530809,10760,384,0,479
,12,4,9,2,514,22638,12,4,266,0,23,4201438771,3,205552172,18435,1211,0,645
,12,9,14,2,469,25239,72,8,238,0,19,4201438771,4,,16821,1119,0,464
,12,5,36,2,573,20605,33,6,211,0,22,4201438771,128,140680642,20551,5421,1,598
,13,2,21,2,662,42735,10,20,279,0,25,4201438771,129,176552562,23743,3701,1,831
,26,10,2,2,363,13748,112,1,76,0,21,4201438771,130,101259972,13019,0,1,556
,22,5,15,2,542,34355,106,8,239,0,24,4201438771,131,202217968,19439,537,1,747
,18,8,5,2,302,11979,88,6,22,0,21,4201438771,132,108221389,10831,371,1,525
,5,1,12,2,462,15981,74,4,231,1,19,4201349578,0,142139318,13667,195,0,543
,5,6,9,2,291,6768,19,0,105,1,14,4201349578,1,92590479,8608,0,0,320
,3,6,0,2,290,9024,110,3,70,0,14,4201349578,2,163587550,8579,0,0,315
